IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.38.109,4,4,0.00,49.38,0.00,SIN
162.159.2.171,4,4,0.00,49.40,0.00,SIN
104.18.43.253,4,4,0.00,49.44,0.00,SIN
162.159.42.191,4,4,0.00,49.50,0.00,SIN
172.64.145.160,4,4,0.00,49.62,0.00,SIN
162.159.16.212,4,4,0.00,49.72,0.00,SIN
162.159.40.102,4,4,0.00,49.72,0.00,SIN
172.64.47.234,4,4,0.00,49.74,0.00,N/A
172.64.37.189,4,4,0.00,49.76,0.00,N/A
173.245.59.27,4,4,0.00,49.78,0.00,SIN
172.64.49.162,4,4,0.00,49.78,0.00,N/A
162.159.6.34,4,4,0.00,49.83,0.00,N/A
162.159.48.241,4,4,0.00,49.87,0.00,N/A
162.159.24.98,4,4,0.00,49.91,0.00,N/A
162.159.33.232,4,4,0.00,49.91,0.00,N/A
104.18.40.191,4,4,0.00,49.95,0.00,N/A
162.159.49.33,4,4,0.00,49.96,0.00,N/A
162.159.41.137,4,4,0.00,49.96,0.00,N/A
172.64.159.68,4,4,0.00,49.97,0.00,N/A
172.64.151.37,4,4,0.00,49.99,0.00,N/A
172.64.150.181,4,4,0.00,50.01,0.00,N/A
162.159.15.193,4,4,0.00,50.02,0.00,N/A
162.159.13.131,4,4,0.00,50.08,0.00,N/A
172.64.46.135,4,4,0.00,50.09,0.00,N/A
104.18.42.221,4,4,0.00,50.10,0.00,N/A
108.162.196.107,4,4,0.00,50.10,0.00,N/A
172.64.48.138,4,4,0.00,50.12,0.00,N/A
162.159.7.230,4,4,0.00,50.13,0.00,N/A
172.64.148.249,4,4,0.00,50.14,0.00,N/A
104.18.35.132,4,4,0.00,50.14,0.00,N/A
162.159.22.6,4,4,0.00,50.14,0.00,N/A
172.64.153.225,4,4,0.00,50.15,0.00,N/A
108.162.195.9,4,4,0.00,50.15,0.00,N/A
162.159.19.19,4,4,0.00,50.16,0.00,N/A
162.159.27.78,4,4,0.00,50.17,0.00,N/A
173.245.58.20,4,4,0.00,50.19,0.00,N/A
162.159.10.242,4,4,0.00,50.22,0.00,N/A
172.64.154.46,4,4,0.00,50.25,0.00,N/A
104.18.44.154,4,4,0.00,50.26,0.00,N/A
162.159.57.32,4,4,0.00,50.27,0.00,N/A
162.159.51.114,4,4,0.00,50.27,0.00,N/A
104.18.46.44,4,4,0.00,50.27,0.00,N/A
198.41.211.149,4,4,0.00,50.28,0.00,N/A
172.64.33.95,4,4,0.00,50.28,0.00,N/A
108.162.193.19,4,4,0.00,50.28,0.00,N/A
162.159.32.207,4,4,0.00,50.28,0.00,N/A
172.64.155.145,4,4,0.00,50.29,0.00,N/A
162.159.43.11,4,4,0.00,50.30,0.00,N/A
172.64.152.122,4,4,0.00,50.35,0.00,N/A
162.159.60.1,4,4,0.00,50.35,0.00,N/A
172.64.36.51,4,4,0.00,50.35,0.00,N/A
104.18.33.90,4,4,0.00,50.37,0.00,N/A
104.18.37.62,4,4,0.00,50.37,0.00,N/A
104.18.41.51,4,4,0.00,50.38,0.00,N/A
162.159.36.31,4,4,0.00,50.39,0.00,N/A
198.41.223.174,4,4,0.00,50.40,0.00,N/A
162.159.56.125,4,4,0.00,50.40,0.00,N/A
172.64.146.4,4,4,0.00,50.42,0.00,N/A
108.162.194.144,4,4,0.00,50.42,0.00,N/A
162.159.12.4,4,4,0.00,50.42,0.00,N/A
172.64.32.177,4,4,0.00,50.43,0.00,N/A
162.159.50.110,4,4,0.00,50.44,0.00,N/A
162.159.9.219,4,4,0.00,50.45,0.00,N/A
172.64.40.176,4,4,0.00,50.46,0.00,N/A
172.64.156.37,4,4,0.00,50.47,0.00,N/A
162.159.26.225,4,4,0.00,50.47,0.00,N/A
162.159.11.166,4,4,0.00,50.51,0.00,N/A
162.159.34.192,4,4,0.00,50.52,0.00,N/A
162.159.14.219,4,4,0.00,50.52,0.00,N/A
162.159.17.75,4,4,0.00,50.52,0.00,N/A
162.159.62.9,4,4,0.00,50.53,0.00,N/A
162.159.5.226,4,4,0.00,50.58,0.00,N/A
162.159.35.26,4,4,0.00,50.61,0.00,N/A
162.159.61.176,4,4,0.00,50.62,0.00,N/A
104.18.45.131,4,4,0.00,50.62,0.00,N/A
162.159.3.250,4,4,0.00,50.64,0.00,N/A
104.18.34.8,4,4,0.00,50.64,0.00,N/A
172.64.34.152,4,4,0.00,50.66,0.00,N/A
172.64.147.96,4,4,0.00,50.66,0.00,N/A
104.18.47.191,4,4,0.00,50.68,0.00,N/A
172.64.50.250,4,4,0.00,50.69,0.00,N/A
162.159.58.152,4,4,0.00,50.71,0.00,N/A
162.159.23.216,4,4,0.00,50.73,0.00,N/A
162.159.8.240,4,4,0.00,50.74,0.00,N/A
104.18.36.244,4,4,0.00,50.75,0.00,N/A
172.64.35.127,4,4,0.00,50.77,0.00,N/A
198.41.222.183,4,4,0.00,50.79,0.00,N/A
162.159.20.197,4,4,0.00,50.81,0.00,N/A
108.162.192.106,4,4,0.00,50.82,0.00,N/A
162.159.25.5,4,4,0.00,50.83,0.00,N/A
104.18.38.163,4,4,0.00,50.90,0.00,N/A
104.18.39.227,4,4,0.00,50.91,0.00,N/A
162.159.21.38,4,4,0.00,50.93,0.00,N/A
162.159.0.68,4,4,0.00,50.93,0.00,N/A
172.64.42.100,4,4,0.00,50.94,0.00,N/A
162.159.46.111,4,4,0.00,50.99,0.00,N/A
162.159.1.27,4,4,0.00,51.07,0.00,N/A
162.159.18.144,4,4,0.00,51.10,0.00,N/A
172.64.157.158,4,4,0.00,51.15,0.00,N/A
172.64.144.13,4,4,0.00,51.17,0.00,N/A
162.159.4.37,4,4,0.00,51.20,0.00,N/A
172.64.149.96,4,4,0.00,51.24,0.00,N/A
172.64.158.130,4,4,0.00,51.34,0.00,N/A
104.18.32.163,4,4,0.00,51.40,0.00,N/A
172.64.41.125,4,4,0.00,52.26,0.00,N/A
162.159.39.250,4,4,0.00,54.88,0.00,N/A
108.162.198.0,4,4,0.00,55.23,0.00,N/A
162.159.45.106,4,4,0.00,55.54,0.00,N/A
162.159.44.22,4,4,0.00,55.71,0.00,N/A
172.64.53.1,4,4,0.00,55.99,0.00,N/A
162.159.38.171,4,4,0.00,56.07,0.00,N/A
172.64.52.81,4,4,0.00,56.58,0.00,N/A
172.64.229.211,4,4,0.00,59.44,0.00,N/A
104.18.148.42,4,4,0.00,150.79,0.00,N/A
104.19.174.69,4,4,0.00,151.05,0.00,N/A
172.64.90.11,4,4,0.00,151.32,0.00,N/A
104.18.238.68,4,4,0.00,151.55,0.00,N/A
104.18.75.96,4,4,0.00,151.69,0.00,N/A
104.19.171.243,4,4,0.00,152.20,0.00,N/A
104.19.16.153,4,4,0.00,152.22,0.00,N/A
104.17.173.97,4,4,0.00,152.27,0.00,N/A
104.16.23.172,4,4,0.00,152.27,0.00,N/A
104.17.45.224,4,4,0.00,152.28,0.00,N/A
104.18.10.88,4,4,0.00,152.39,0.00,N/A
104.17.255.212,4,4,0.00,152.39,0.00,N/A
104.16.110.218,4,4,0.00,152.44,0.00,N/A
104.19.231.174,4,4,0.00,152.45,0.00,N/A
104.18.147.223,4,4,0.00,152.57,0.00,N/A
104.16.74.208,4,4,0.00,152.61,0.00,N/A
104.16.94.16,4,4,0.00,152.63,0.00,N/A
104.19.67.51,4,4,0.00,152.64,0.00,N/A
104.18.239.59,4,4,0.00,152.71,0.00,N/A
104.18.233.190,4,4,0.00,152.79,0.00,N/A
104.17.242.27,4,4,0.00,152.85,0.00,N/A
104.19.176.35,4,4,0.00,152.86,0.00,N/A
104.19.109.66,4,4,0.00,152.88,0.00,N/A
198.41.208.171,4,4,0.00,152.89,0.00,N/A
104.18.58.53,4,4,0.00,152.93,0.00,N/A
104.17.96.186,4,4,0.00,152.96,0.00,N/A
104.18.156.252,4,4,0.00,152.99,0.00,N/A
104.19.180.152,4,4,0.00,153.07,0.00,N/A
104.16.11.240,4,4,0.00,153.10,0.00,N/A
104.19.57.150,4,4,0.00,153.11,0.00,N/A
104.19.209.219,4,4,0.00,153.16,0.00,N/A
104.16.237.155,4,4,0.00,153.19,0.00,N/A
104.19.156.131,4,4,0.00,153.20,0.00,N/A
172.66.1.140,4,4,0.00,153.21,0.00,N/A
104.18.193.11,4,4,0.00,153.24,0.00,N/A
104.18.203.75,4,4,0.00,153.24,0.00,N/A
104.19.42.223,4,4,0.00,153.25,0.00,N/A
104.16.230.118,4,4,0.00,153.26,0.00,N/A
104.16.217.115,4,4,0.00,153.33,0.00,N/A
104.19.54.208,4,4,0.00,153.34,0.00,N/A
104.16.8.92,4,4,0.00,153.47,0.00,N/A
104.16.139.66,4,4,0.00,153.47,0.00,N/A
104.17.219.103,4,4,0.00,153.48,0.00,N/A
104.19.80.159,4,4,0.00,153.49,0.00,N/A
104.16.136.221,4,4,0.00,153.55,0.00,N/A
104.19.237.140,4,4,0.00,153.63,0.00,N/A
104.17.224.224,4,4,0.00,153.65,0.00,N/A
104.16.216.239,4,4,0.00,153.66,0.00,N/A
104.18.245.69,4,4,0.00,153.72,0.00,N/A
104.17.152.72,4,4,0.00,153.77,0.00,N/A
104.19.144.151,4,4,0.00,153.78,0.00,N/A
104.19.161.25,4,4,0.00,153.79,0.00,N/A
104.16.181.171,4,4,0.00,153.80,0.00,N/A
104.17.220.144,4,4,0.00,153.82,0.00,N/A
104.17.39.217,4,4,0.00,153.85,0.00,N/A
104.17.148.155,4,4,0.00,153.87,0.00,N/A
104.17.67.204,4,4,0.00,153.91,0.00,N/A
104.18.85.231,4,4,0.00,153.91,0.00,N/A
104.18.130.38,4,4,0.00,153.92,0.00,N/A
104.17.194.149,4,4,0.00,153.94,0.00,N/A
172.64.94.69,4,4,0.00,153.94,0.00,N/A
162.159.202.130,4,4,0.00,153.95,0.00,N/A
104.17.253.137,4,4,0.00,153.96,0.00,N/A
104.17.56.140,4,4,0.00,153.97,0.00,N/A
104.19.1.110,4,4,0.00,153.98,0.00,N/A
104.16.137.13,4,4,0.00,153.99,0.00,N/A
104.18.133.48,4,4,0.00,154.00,0.00,N/A
104.17.162.88,4,4,0.00,154.00,0.00,N/A
104.16.51.188,4,4,0.00,154.02,0.00,N/A
104.17.211.175,4,4,0.00,154.08,0.00,N/A
104.17.26.72,4,4,0.00,154.10,0.00,N/A
104.31.16.13,4,4,0.00,154.11,0.00,N/A
104.19.6.204,4,4,0.00,154.12,0.00,N/A
104.18.129.120,4,4,0.00,154.12,0.00,N/A
104.16.193.177,4,4,0.00,154.13,0.00,N/A
104.18.91.104,4,4,0.00,154.13,0.00,N/A
172.65.230.41,4,4,0.00,154.14,0.00,N/A
104.17.160.41,4,4,0.00,154.14,0.00,N/A
104.16.67.100,4,4,0.00,154.15,0.00,N/A
104.16.128.68,4,4,0.00,154.17,0.00,N/A
104.17.58.52,4,4,0.00,154.18,0.00,N/A
104.16.15.64,4,4,0.00,154.19,0.00,N/A
104.17.29.156,4,4,0.00,154.21,0.00,N/A
104.18.14.162,4,4,0.00,154.22,0.00,N/A
104.16.47.31,4,4,0.00,154.25,0.00,N/A
104.19.230.6,4,4,0.00,154.26,0.00,N/A
104.17.110.162,4,4,0.00,154.31,0.00,N/A
104.16.71.170,4,4,0.00,154.33,0.00,N/A
104.19.58.119,4,4,0.00,154.33,0.00,N/A
172.65.213.89,4,4,0.00,154.34,0.00,N/A
104.17.105.138,4,4,0.00,154.35,0.00,N/A
104.18.248.47,4,4,0.00,154.36,0.00,N/A
104.16.157.140,4,4,0.00,154.40,0.00,N/A
104.17.70.94,4,4,0.00,154.43,0.00,N/A
